dish_name,floor,stall_name,category,pricing_type,price,unit,taste_tag,is_available_today
奥尔良鸡肉包,一楼,大众面点,主食,fixed,1.2,个,不辣,是
鲜肉包,一楼,大众面点,主食,fixed,1.2,个,不辣,是
香菇青菜包,一楼,大众面点,主食,fixed,1,个,不辣,是
香辣粉丝包,一楼,大众面点,主食,fixed,1,个,微辣,是
香辣莲藕包,一楼,大众面点,主食,fixed,1,个,微辣,是
豆沙包,一楼,大众面点,主食,fixed,1,个,不辣,是
腌菜鸡蛋包,一楼,大众面点,主食,fixed,1,个,不辣,是
小春卷,一楼,大众面点,主食,fixed,0.5,个,不辣,是
小笼包,一楼,大众面点,主食,fixed,0.5,个,不辣,是
蒸饺,一楼,大众面点,主食,fixed,0.5,个,不辣,是
黑米糕,一楼,大众面点,主食,fixed,0.75,个,不辣,是
奶黄包,一楼,大众面点,主食,fixed,1,个,甜,是
紫薯包,一楼,大众面点,主食,fixed,1,个,不辣,是
红糖发糕,一楼,大众面点,主食,fixed,1.5,块,甜,是
桂花白糖方糕,一楼,大众面点,主食,fixed,2,个,甜,是
红豆卷,一楼,大众面点,主食,fixed,2,个,甜,是
玉米棒,一楼,大众面点,主食,fixed,4,根,不辣,是
黄金糕,一楼,大众面点,主食,fixed,4,块,甜,是
汤包,一楼,大众面点,主食,fixed,5,笼,不辣,是
燕红薯,一楼,大众面点,主食,per_jin,5,斤,不辣,是
白馒头,一楼,大众面点,主食,fixed,0.25,个,清淡,是
花卷,一楼,大众面点,主食,fixed,0.3,个,不辣,是
夹心糕,一楼,大众面点,主食,fixed,0.3,个,不辣,是
黑米馒头,一楼,大众面点,主食,fixed,0.4,个,不辣,是
肉包,一楼,大众面点,主食,fixed,0.5,个,清淡,是
夹心馒头,一楼,大众面点,主食,fixed,0.8,个,不辣,是
油条,一楼,大众面点,主食,fixed,1,个,不辣,是
烧麦,一楼,大众面点,主食,fixed,1.5,个,不辣,是
麻园,一楼,大众面点,主食,fixed,1.5,个,不辣,是
鸡冠饺,一楼,大众面点,主食,fixed,1.5,个,不辣,是
白米粥,一楼,大众面点,主食,fixed,1,份,清淡,是
小米粥,一楼,大众面点,主食,fixed,1,份,清淡,是
八宝粥,一楼,大众面点,主食,fixed,2,份,清淡,是
皮蛋粥,一楼,大众面点,主食,fixed,2,份,清淡,是
